UNIT FILE                                    STATE           PRESET
accounts-daemon.service                      enabled         enabled
alsa-restore.service                         static          -
alsa-state.service                           static          -
alsa-utils.service                           masked          enabled
anacron.service                              enabled         enabled
apache-htcacheclean.service                  disabled        enabled
apache-htcacheclean@.service                 disabled        enabled
apache2.service                              enabled         enabled
apache2@.service                             disabled        enabled
apparmor.service                             enabled         enabled
apport-autoreport.service                    static          -
apport-coredump-hook@.service                static          -
apport-forward@.service                      static          -
apport.service                               enabled         enabled
apt-daily-upgrade.service                    static          -
apt-daily.service                            static          -
apt-news.service                             static          -
auth-rpcgss-module.service                   static          -
autovt@.service                              alias           -
avahi-daemon.service                         enabled         enabled
blk-availability.service                     enabled         enabled
bluetooth.service                            enabled         enabled
bolt.service                                 static          -
brltty-udev.service                          static          -
brltty.service                               disabled        enabled
cloud-config.service                         enabled         enabled
cloud-final.service                          enabled         enabled
cloud-init-hotplugd.service                  static          -
cloud-init-local.service                     enabled         enabled
cloud-init.service                           enabled         enabled
colord.service                               static          -
configure-printer@.service                   static          -
console-getty.service                        disabled        disabled
console-setup.service                        enabled         enabled
container-getty@.service                     static          -
containerd.service                           enabled         enabled
cron.service                                 enabled         enabled
cryptdisks-early.service                     masked          enabled
cryptdisks.service                           masked          enabled
cups-browsed.service                         enabled         enabled
cups.service                                 enabled         enabled
dbus-fi.w1.wpa_supplicant1.service           alias           -
dbus-org.bluez.service                       alias           -
dbus-org.freedesktop.Avahi.service           alias           -
dbus-org.freedesktop.hostname1.service       alias           -
dbus-org.freedesktop.locale1.service         alias           -
dbus-org.freedesktop.login1.service          alias           -
dbus-org.freedesktop.ModemManager1.service   alias           -
dbus-org.freedesktop.nm-dispatcher.service   alias           -
dbus-org.freedesktop.oom1.service            alias           -
dbus-org.freedesktop.resolve1.service        alias           -
dbus-org.freedesktop.thermald.service        alias           -
dbus-org.freedesktop.timedate1.service       alias           -
dbus-org.freedesktop.timesync1.service       alias           -
dbus.service                                 static          -
debug-shell.service                          disabled        disabled
display-manager.service                      alias           -
dm-event.service                             static          -
dmesg.service                                enabled         enabled
docker.service                               enabled         enabled
dpkg-db-backup.service                       static          -
e2scrub@.service                             static          -
e2scrub_all.service                          static          -
e2scrub_fail@.service                        static          -
e2scrub_reap.service                         enabled         enabled
emergency.service                            static          -
esm-cache.service                            static          -
finalrd.service                              enabled         enabled
fprintd.service                              static          -
friendly-recovery.service                    static          -
fsidd.service                                enabled         enabled
fstrim.service                               static          -
fwupd-offline-update.service                 static          -
fwupd-refresh.service                        static          -
fwupd.service                                static          -
gdm.service                                  static          -
gdm3.service                                 alias           -
geoclue.service                              static          -
getty-static.service                         static          -
getty@.service                               enabled         enabled
gnome-remote-desktop.service                 enabled         enabled
gpu-manager.service                          enabled         enabled
grub-common.service                          enabled         enabled
grub-initrd-fallback.service                 enabled         enabled
hello.service                                enabled         enabled
hwclock.service                              masked          enabled
iio-sensor-proxy.service                     static          -
initrd-cleanup.service                       static          -
initrd-parse-etc.service                     static          -
initrd-switch-root.service                   static          -
initrd-udevadm-cleanup-db.service            static          -
ipp-usb.service                              static          -
kerneloops.service                           enabled         enabled
keyboard-setup.service                       enabled         enabled
kmod-static-nodes.service                    static          -
kmod.service                                 alias           -
ldconfig.service                             static          -
logrotate.service                            static          -
lvm2-lvmpolld.service                        static          -
lvm2-monitor.service                         enabled         enabled
man-db.service                               static          -
mariadb.service                              enabled         enabled
mariadb@.service                             disabled        enabled
mdadm-grow-continue@.service                 static          -
mdadm-last-resort@.service                   static          -
mdcheck_continue.service                     static          -
mdcheck_start.service                        static          -
mdmon@.service                               static          -
mdmonitor-oneshot.service                    static          -
mdmonitor.service                            static          -
ModemManager.service                         enabled         enabled
modprobe@.service                            static          -
motd-news.service                            static          -
mysql.service                                alias           -
mysqld.service                               alias           -
netplan-ovs-cleanup.service                  enabled-runtime enabled
networkd-dispatcher.service                  enabled         enabled
NetworkManager-dispatcher.service            enabled         enabled
NetworkManager-wait-online.service           enabled         enabled
NetworkManager.service                       enabled         enabled
nfs-blkmap.service                           enabled         enabled
nfs-common.service                           masked          enabled
nfs-idmapd.service                           static          -
nfs-kernel-server.service                    alias           -
nfs-mountd.service                           static          -
nfs-server.service                           enabled         enabled
nfs-utils.service                            static          -
nfsdcld.service                              static          -
nftables.service                             disabled        enabled
nm-priv-helper.service                       static          -
openvpn-client@.service                      disabled        enabled
openvpn-server@.service                      disabled        enabled
openvpn.service                              enabled         enabled
openvpn@.service                             disabled        enabled
packagekit-offline-update.service            static          -
packagekit.service                           static          -
pam_namespace.service                        static          -
phpsessionclean.service                      static          -
plymouth-halt.service                        static          -
plymouth-kexec.service                       static          -
plymouth-log.service                         alias           -
plymouth-poweroff.service                    static          -
plymouth-quit-wait.service                   static          -
plymouth-quit.service                        static          -
plymouth-read-write.service                  static          -
plymouth-reboot.service                      static          -
plymouth-start.service                       static          -
plymouth-switch-root-initramfs.service       static          -
plymouth-switch-root.service                 static          -
plymouth.service                             alias           -
polkit.service                               static          -
portmap.service                              alias           -
power-profiles-daemon.service                enabled         enabled
procps.service                               alias           -
quotaon.service                              static          -
rc-local.service                             static          -
rescue.service                               static          -
rpc-gssd.service                             static          -
rpc-statd-notify.service                     static          -
rpc-statd.service                            static          -
rpc-svcgssd.service                          static          -
rpcbind.service                              enabled         enabled
rsync.service                                disabled        enabled
rsyslog.service                              enabled         enabled
rtkit-daemon.service                         disabled        enabled
saned.service                                masked          enabled
saned@.service                               indirect        enabled
secureboot-db.service                        enabled         enabled
serial-getty@.service                        disabled        enabled
setvtrgb.service                             enabled         enabled
snapd.apparmor.service                       enabled         enabled
snapd.autoimport.service                     enabled         enabled
snapd.core-fixup.service                     enabled         enabled
snapd.failure.service                        static          -
snapd.recovery-chooser-trigger.service       enabled         enabled
snapd.seeded.service                         enabled         enabled
snapd.service                                enabled         enabled
snapd.snap-repair.service                    static          -
snapd.system-shutdown.service                enabled         enabled
speech-dispatcher.service                    generated       -
speech-dispatcherd.service                   disabled        enabled
spice-vdagent.service                        alias           -
spice-vdagentd.service                       indirect        enabled
ssh.service                                  disabled        enabled
ssl-cert.service                             enabled         enabled
sssd-autofs.service                          indirect        enabled
sssd-nss.service                             indirect        enabled
sssd-pac.service                             indirect        enabled
sssd-pam.service                             indirect        enabled
sssd-ssh.service                             indirect        enabled
sssd-sudo.service                            indirect        enabled
sssd.service                                 enabled         enabled
sudo.service                                 masked          enabled
switcheroo-control.service                   enabled         enabled
syslog.service                               alias           -
sysstat-collect.service                      static          -
sysstat-summary.service                      static          -
sysstat.service                              enabled         enabled
system-update-cleanup.service                static          -
systemd-ask-password-console.service         static          -
systemd-ask-password-plymouth.service        static          -
systemd-ask-password-wall.service            static          -
systemd-backlight@.service                   static          -
systemd-battery-check.service                static          -
systemd-binfmt.service                       static          -
systemd-boot-check-no-failures.service       disabled        disabled
systemd-bsod.service                         static          -
systemd-confext.service                      disabled        enabled
systemd-exit.service                         static          -
systemd-firstboot.service                    static          -
systemd-fsck-root.service                    enabled-runtime enabled
systemd-fsck@.service                        static          -
systemd-fsckd.service                        static          -
systemd-growfs-root.service                  static          -
systemd-growfs@.service                      static          -
systemd-halt.service                         static          -
systemd-hibernate-resume.service             static          -
systemd-hibernate.service                    static          -
systemd-hostnamed.service                    static          -
systemd-hwdb-update.service                  static          -
systemd-hybrid-sleep.service                 static          -
systemd-initctl.service                      static          -
systemd-journal-catalog-update.service       static          -
systemd-journal-flush.service                static          -
systemd-journald.service                     static          -
systemd-journald@.service                    static          -
systemd-kexec.service                        static          -
systemd-localed.service                      static          -
systemd-logind.service                       static          -
systemd-machine-id-commit.service            static          -
systemd-modules-load.service                 static          -
systemd-network-generator.service            disabled        enabled
systemd-networkd-wait-online.service         disabled        enabled
systemd-networkd-wait-online@.service        disabled        enabled
systemd-networkd.service                     disabled        enabled
systemd-oomd.service                         enabled         enabled
systemd-pcrextend@.service                   static          -
systemd-pcrfs-root.service                   static          -
systemd-pcrfs@.service                       static          -
systemd-pcrlock-file-system.service          disabled        enabled
systemd-pcrlock-firmware-code.service        disabled        enabled
systemd-pcrlock-firmware-config.service      disabled        enabled
systemd-pcrlock-machine-id.service           disabled        enabled
systemd-pcrlock-make-policy.service          disabled        enabled
systemd-pcrlock-secureboot-authority.service disabled        enabled
systemd-pcrlock-secureboot-policy.service    disabled        enabled
systemd-pcrmachine.service                   static          -
systemd-pcrphase-initrd.service              static          -
systemd-pcrphase-sysinit.service             static          -
systemd-pcrphase.service                     static          -
systemd-poweroff.service                     static          -
systemd-pstore.service                       enabled         enabled
systemd-quotacheck.service                   static          -
systemd-random-seed.service                  static          -
systemd-reboot.service                       static          -
systemd-remount-fs.service                   enabled-runtime enabled
systemd-repart.service                       static          -
systemd-resolved.service                     enabled         enabled
systemd-rfkill.service                       static          -
systemd-soft-reboot.service                  static          -
systemd-storagetm.service                    static          -
systemd-suspend-then-hibernate.service       static          -
systemd-suspend.service                      static          -
systemd-sysctl.service                       static          -
systemd-sysext.service                       disabled        enabled
systemd-sysext@.service                      static          -
systemd-sysupdate-reboot.service             indirect        enabled
systemd-sysupdate.service                    indirect        enabled
systemd-sysusers.service                     static          -
systemd-time-wait-sync.service               disabled        disabled
systemd-timedated.service                    static          -
systemd-timesyncd.service                    enabled         enabled
systemd-tmpfiles-clean.service               static          -
systemd-tmpfiles-setup-dev-early.service     static          -
systemd-tmpfiles-setup-dev.service           static          -
systemd-tmpfiles-setup.service               static          -
systemd-tpm2-setup-early.service             static          -
systemd-tpm2-setup.service                   static          -
systemd-udev-settle.service                  static          -
systemd-udev-trigger.service                 static          -
systemd-udevd.service                        static          -
systemd-update-done.service                  static          -
systemd-update-utmp-runlevel.service         static          -
systemd-update-utmp.service                  static          -
systemd-user-sessions.service                static          -
systemd-volatile-root.service                static          -
thermald.service                             enabled         enabled
tpm-udev.service                             static          -
ua-reboot-cmds.service                       enabled         enabled
ua-timer.service                             static          -
ubuntu-advantage-desktop-daemon.service      static          -
ubuntu-advantage.service                     enabled         enabled
